10000 16666
5321 9409 8
1068 4255 3
983 3489 7
855 5909 1
3935 5009 1
1093 2315 6
4026 5353 7
4547 9393 3
467 7879 4
6784 2909 1
397 5241 1
6682 8069 9
6417 486 3
1985 8446 9
1893 6989 9
746 5753 8
1432 6601 1
9147 6929 3
4281 9670 6
323 4989 10
1250 4739 9
1629 7452 7
6305 9784 6
6485 7050 4
2282 230 3
4537 2960 9
9715 521 9
9508 7501 3
8369 5821 6
462 6503 1
9075 7101 9
6225 7998 1
2248 6333 1
5895 7861 1
2243 4020 7
204 1026 6
6578 161 3
8689 5257 4
7460 7701 5
6861 9849 1
535 8945 3
6543 7853 9
9279 1876 6
8375 2969 5
8275 7288 4
3052 4853 5
1853 201 8
2359 4216 9
2508 8845 3
376 3703 7
3600 3445 9
5277 6251 5
3422 6488 1
8257 1439 7
8370 2245 6
2177 5857 9
306 2171 1
3495 3851 3
5558 9036 9
855 6233 10
3477 3329 8
1164 3881 6
3282 7825 7
5593 4330 4
2609 5001 9
2065 4334 9
3135 7969 1
3209 7049 3
5966 7901 3
7379 4007 2
4664 5297 1
2239 3677 9
2134 5141 1
7077 1081 10
3910 8041 1
6788 9826 7
5883 541 1
3801 3269 1
5360 1624 8
618 8661 1
4406 6573 8
527 7405 3
5402 6646 1
2510 1593 5
5216 9201 4
9119 3829 1
6079 6625 7
8718 2681 3
8224 9026 1
2035 4787 8
8090 8159 6
6654 8651 1
3920 3341 5
4979 8863 9
8828 7782 5
177 9703 6
6672 1803 9
1596 6174 9
8235 2839 1
7450 6829 5
405 1241 7
6172 8801 9
5700 6329 1
366 1492 10
875 33 9
9249 4619 1
8745 1649 4
1437 4815 9
6364 4857 2
5589 2151 6
7451 984 1
5732 9706 6
3241 2519 3
1455 8065 7
7078 8879 6
5710 8085 3
6051 3837 9
5760 2841 7
8044 427 7
7660 4541 1
1727 2591 3
7359 825 5
570 4824 2
9704 9104 5
904 4039 9
6081 9858 9
1052 1376 9
1098 289 7
4609 1933 7
3746 9101 5
1846 677 9
2852 2781 9
4370 4401 6
6029 9615 5
1890 6857 6
700 3699 9
6558 8937 1
4986 6567 1
3938 8357 7
1280 1834 7
2578 9441 1
5621 2465 1
5644 8385 2
238 9918 6
8742 5321 10
4291 7945 9
7286 1714 1
6674 2761 5
9328 1801 9
8598 2215 8
9167 1718 9
8933 1093 1
6705 343 7
1216 5498 9
8868 3855 7
4742 4681 7
1942 9529 3
6749 2761 9
1245 5051 1
308 2249 1
5677 1777 6
8257 9078 7
7878 2901 1
365 4745 6
4073 137 7
4377 5553 3
6863 1402 9
537 1601 7
4927 8338 10
3925 9917 2
3089 5026 1
5026 2139 2
2669 2526 3
3708 6561 9
1366 2571 1
9799 8337 4
83 3609 3
8250 4176 7
4424 9715 5
7828 6986 9
459 8217 7
8717 1789 5
3678 7421 5
1089 6461 7
9177 2201 1
5543 3814 1
5557 5275 6
2794 6367 3
5437 3925 9
2799 1556 1
3265 8309 10
5750 2597 9
4273 8813 5
4629 796 4
8157 9445 3
4484 8767 9
9929 1046 5
8858 9689 1
4921 2265 1
5209 158 7
190 4036 5
2366 7692 10
1303 4244 7
8607 926 3
7578 6865 4
4146 2246 1
4924 2209 9
654 1711 7
7969 8097 5
5503 1191 3
4069 2930 4
3933 4337 9
5359 9643 5
9604 4401 7
1832 9601 8
2888 4936 6
9581 7897 7
1918 5931 5
8166 8213 3
8870 257 3
8754 2387 2
2775 8193 7
4307 8703 9
8043 6937 9
5129 9321 1
1235 6581 1
5692 8845 7
6569 9951 1
9755 4503 1
6636 5401 7
6764 5276 7
6890 8153 5
8738 1931 1
8612 4993 1
6540 5991 6
2885 1380 1
2619 2931 9
7948 6013 9
3513 51 6
9580 9021 5
4868 859 2
7682 43 3
6439 2209 6
2340 4049 7
6159 3564 1
1774 7149 5
4237 2741 9
4349 1857 1
2837 1561 3
5050 4457 1
1870 3228 7
6437 133 6
1548 9209 1
3380 961 5
6678 5401 1
3748 9297 2
6470 5144 7
6619 2597 9
5769 9069 3
1166 1051 1
6050 8153 4
5403 2585 3
6752 4869 6
1355 6370 3
9323 2761 1
2022 9856 1
3015 5927 1
7308 3385 2
2521 3233 5
8380 7861 1
6493 9585 1
7512 2666 9
4714 7461 5
4553 4375 1
7441 5471 8
1955 4077 10
638 4326 10
1967 7501 10
3552 9777 3
1181 7930 1
1686 4412 9
3584 4913 1
4995 4263 6
5945 7231 3
6693 405 1
9700 3911 7
5046 7552 7
9667 6557 1
1871 8383 10
1874 3401 6
6007 5785 3
4315 5569 9
467 2631 9
5454 2726 1
786 9809 9
4322 607 1
2513 8943 6
2347 7219 10
2345 7847 3
466 9334 9
1927 9625 6
5953 4713 1
4765 1370 6
1784 5649 5
8042 7641 5
9883 2548 1
4301 3863 9
7188 1665 10
948 3898 5
9930 6449 9
7471 3535 5
5160 9501 6
3322 2641 1
4956 2137 5
6198 2569 2
2956 4977 10
7362 4762 5
7574 3001 1
9429 7721 3
8802 9505 1
1324 296 4
4074 2231 6
7682 3768 5
1487 6813 4
1953 1432 8
5051 8715 1
2506 2529 1
351 8240 9
747 1607 1
6353 2660 1
415 2253 1
3007 2701 7
878 683 6
5838 4725 5
9394 7253 1
57 5589 1
3003 2841 2
1521 8285 1
4685 7918 9
5163 7411 6
5982 1557 9
6137 7055 5
1672 5386 2
7647 3641 4
2280 8501 10
336 1305 3
8107 2131 1
2814 3844 3
2370 7876 5
2425 6449 1
8407 4931 7
1388 9486 8
1676 5101 9
9409 1951 9
7296 9956 5
7131 5229 5
2085 1121 1
6145 6181 5
3193 3241 8
9773 9201 3
2054 3731 1
3150 4571 5
3380 681 5
4714 2803 7
1890 1713 1
3490 8201 1
4917 8451 7
6038 4301 1
408 753 7
1840 689 3
44 8396 10
7433 4177 1
8126 3603 3
499 9311 1
1907 196 6
697 319 9
3522 8302 9
4327 9117 2
4419 1961 1
3382 9151 5
273 5079 5
177 5658 7
2631 4755 2
2175 9037 3
3033 726 2
6445 7224 3
4377 9297 6
8635 8025 1
4144 8666 9
5981 326 1
6032 1661 2
6005 6087 1
8929 8207 5
5453 1081 7
2130 4483 7
2091 9151 9
1300 4261 7
2674 3904 3
9614 2573 1
4864 8887 1
1086 3871 3
8800 1977 1
9704 2427 9
1246 2385 1
5938 1677 9
7262 4361 3
2826 69 1
843 3941 10
6068 65 1
937 9133 6
6030 9897 6
7415 4849 1
7232 8746 1
8629 1137 1
2917 8753 4
6583 8099 5
4031 3370 9
7667 2837 5
1595 1815 10
3929 7641 4
6425 6483 5
8737 8767 1
745 2706 3
5792 1135 3
1247 8641 3
9925 233 1
2543 5181 5
6196 173 5
4582 8133 3
124 4615 8
710 7641 3
2127 5565 1
8816 7321 1
7899 680 5
548 4625 3
4399 3905 2
6631 3855 8
543 8833 10
669 9682 7
3899 881 1
1920 8321 7
4708 4053 7
7140 9019 5
4982 2488 9
5899 1878 1
857 4224 7
2377 5401 7
1744 5622 1
5085 1823 3
3358 4322 3
9323 5135 7
7681 3737 5
725 6257 1
831 7037 3
2433 4105 1
2646 5233 3
1372 9697 8
3308 6068 10
4173 7321 6
2621 1393 1
8153 4261 8
2281 8561 3
9672 289 4
3683 7873 1
8494 9399 1
2315 3326 1
806 4561 8
4858 2598 7
1939 2752 4
4436 7457 9
2613 8761 7
418 9103 7
8780 6401 9
2221 8722 10
3746 7661 1
4156 7083 5
2972 7425 5
1599 2473 1
8256 5169 3
2532 3290 6
5622 103 1
8087 9547 5
648 6466 5
5644 1985 1
1301 573 1
688 1045 7
4403 7336 1
9371 9461 1
3208 2386 6
3943 3790 5
8082 8163 4
8631 2765 9
5726 9861 3
6475 7386 1
4846 8601 2
8798 3505 3
8096 8593 3
8093 5625 1
8816 9681 2
5137 7317 3
6428 1613 9
8824 5944 9
706 6794 1
6054 7745 10
1346 471 9
744 4881 5
3286 3073 1
7811 2161 2
786 6817 8
9050 4693 4
1711 3461 1
8619 8121 5
8464 9845 7
3457 1990 6
8770 2961 6
7454 6071 1
3272 4245 1
4159 3642 1
4012 1377 5
5111 8696 9
7161 2579 1
2312 3105 9
858 9021 3
8034 9148 1
1111 5526 1
8687 8326 9
9378 8829 1
6724 2953 1
7487 9910 3
3994 8116 1
329 3443 8
3305 129 7
7945 4568 10
7724 8129 3
7375 8491 1
991 1031 5
6993 571 9
6755 8197 5
5743 8700 3
4798 2155 1
4062 1121 6
8398 9863 8
2026 785 1
3244 2749 1
6535 8801 5
4244 909 1
4262 4857 6
2992 4953 1
9110 1931 1
8190 7832 1
986 773 2
8364 543 9
1832 6321 1
8914 3369 8
1060 6785 1
3855 1921 7
9735 6911 3
2852 4311 5
4418 3004 3
9653 2286 1
3989 7321 9
4176 6073 7
4023 2706 1
2495 8215 5
4672 3737 1
1582 7273 9
108 8451 7
8331 921 10
4814 327 5
7032 1610 7
2445 6070 1
2840 4147 2
3138 394 7
6975 5057 6
989 4988 5
3244 6493 1
46 3434 1
8065 2120 1
6576 3042 1
7322 1601 3
5988 5443 3
3898 4067 3
295 6081 5
8401 6481 3
6088 7626 1
8727 7503 1
4340 8407 4
747 23 1
4294 6819 10
1315 2735 5
443 3369 5
6762 9273 7
615 5592 1
1195 1649 7
6885 7913 1
